recruitment_id,employee_id,hiring_source,recruiter_name,time_to_hire_days,interview_rounds,hiring_cost,offer_accepted
REC00001,EMP00001,Naukri,Pradeep Nair,50,1,11542,1
REC00002,EMP00002,Employee Referral,Amit Joshi,22,1,8446,1
REC00003,EMP00003,Indeed,Suresh Pillai,23,4,9516,1
REC00004,EMP00004,LinkedIn,Tanu Kapoor,20,1,21696,1
REC00005,EMP00005,Indeed,Pooja Sharma,18,5,15828,0
REC00006,EMP00006,Consultancy,Sunita Arora,56,3,78306,1
REC00007,EMP00007,Employee Referral,Meenakshi Iyer,26,5,7918,1
REC00008,EMP00008,Naukri,Tanu Kapoor,58,3,18594,1
REC00009,EMP00009,Campus Hiring,Sunita Arora,36,2,13994,1
REC00010,EMP00010,Campus Hiring,Sunita Arora,18,3,9988,1
REC00011,EMP00011,Employee Referral,Vikash Gupta,46,5,3740,0
REC00012,EMP00012,Indeed,Rajan Mehta,35,3,11015,1
REC00013,EMP00013,Naukri,Sunita Arora,37,4,15924,1
REC00014,EMP00014,Consultancy,Suresh Pillai,43,1,63327,1
REC00015,EMP00015,Naukri,Sunita Arora,25,3,10120,1
REC00016,EMP00016,Naukri,Pradeep Nair,30,3,17145,1
REC00017,EMP00017,Campus Hiring,Kavya Reddy,60,1,13054,1
REC00018,EMP00018,Naukri,Sunita Arora,54,1,9169,1
REC00019,EMP00019,Employee Referral,Vikash Gupta,14,3,8730,1
REC00020,EMP00020,Campus Hiring,Pooja Sharma,59,4,5768,1
REC00021,EMP00021,Campus Hiring,Kavya Reddy,54,5,10797,1
REC00022,EMP00022,Employee Referral,Suresh Pillai,15,2,5194,1
REC00023,EMP00023,Indeed,Pradeep Nair,51,2,11263,1
REC00024,EMP00024,Employee Referral,Meenakshi Iyer,45,5,7851,1
REC00025,EMP00025,Consultancy,Rajan Mehta,48,4,57277,1
REC00026,EMP00026,Campus Hiring,Meenakshi Iyer,42,4,8856,0
REC00027,EMP00027,Naukri,Meenakshi Iyer,49,5,11145,0
REC00028,EMP00028,Consultancy,Pooja Sharma,57,4,56087,1
REC00029,EMP00029,LinkedIn,Vikash Gupta,46,1,21283,1
REC00030,EMP00030,Indeed,Kavya Reddy,16,3,15820,0
REC00031,EMP00031,Campus Hiring,Rajan Mehta,12,2,7047,0
REC00032,EMP00032,Naukri,Sunita Arora,60,5,6776,1
REC00033,EMP00033,Employee Referral,Suresh Pillai,56,3,3031,1
REC00034,EMP00034,LinkedIn,Sunita Arora,33,5,17500,1
REC00035,EMP00035,Naukri,Vikash Gupta,41,5,18003,1
REC00036,EMP00036,Naukri,Suresh Pillai,22,4,11654,1
REC00037,EMP00037,Indeed,Meenakshi Iyer,26,2,7665,1
REC00038,EMP00038,Indeed,Amit Joshi,10,1,12449,0
REC00039,EMP00039,Naukri,Sunita Arora,28,3,13617,1
REC00040,EMP00040,Employee Referral,Tanu Kapoor,33,2,7801,1
REC00041,EMP00041,LinkedIn,Meenakshi Iyer,41,2,21185,1
REC00042,EMP00042,Naukri,Suresh Pillai,12,2,16144,1
REC00043,EMP00043,Consultancy,Tanu Kapoor,59,3,46337,1
REC00044,EMP00044,Naukri,Kavya Reddy,59,5,19112,0
REC00045,EMP00045,Indeed,Vikash Gupta,46,4,10944,1
REC00046,EMP00046,Consultancy,Sunita Arora,12,2,31338,1
REC00047,EMP00047,LinkedIn,Pooja Sharma,17,5,14958,1
REC00048,EMP00048,Campus Hiring,Amit Joshi,47,5,11756,1
REC00049,EMP00049,Employee Referral,Tanu Kapoor,13,2,6654,1
REC00050,EMP00050,Naukri,Meenakshi Iyer,8,5,14555,1
REC00051,EMP00051,LinkedIn,Suresh Pillai,57,1,15513,1
REC00052,EMP00052,Employee Referral,Rajan Mehta,35,5,3234,1
REC00053,EMP00053,Campus Hiring,Amit Joshi,34,3,8115,1
REC00054,EMP00054,Employee Referral,Meenakshi Iyer,51,1,6316,1
REC00055,EMP00055,Employee Referral,Rajan Mehta,26,2,7068,1
REC00056,EMP00056,Campus Hiring,Kavya Reddy,12,3,11234,1
REC00057,EMP00057,Campus Hiring,Sunita Arora,25,3,11475,1
REC00058,EMP00058,Employee Referral,Pradeep Nair,34,5,4267,1
REC00059,EMP00059,LinkedIn,Pooja Sharma,59,3,13212,1
REC00060,EMP00060,Indeed,Meenakshi Iyer,16,3,15047,1
REC00061,EMP00061,Naukri,Sunita Arora,44,4,10261,0
REC00062,EMP00062,Employee Referral,Sunita Arora,52,4,6608,0
REC00063,EMP00063,Naukri,Amit Joshi,11,5,10472,1
REC00064,EMP00064,Naukri,Kavya Reddy,28,1,14053,1
REC00065,EMP00065,Employee Referral,Suresh Pillai,41,4,6638,1
REC00066,EMP00066,LinkedIn,Vikash Gupta,60,5,17661,1
REC00067,EMP00067,Consultancy,Tanu Kapoor,31,2,55254,1
REC00068,EMP00068,Naukri,Amit Joshi,53,1,16375,1
REC00069,EMP00069,Indeed,Kavya Reddy,17,2,10053,1
REC00070,EMP00070,Consultancy,Kavya Reddy,58,5,31941,1
REC00071,EMP00071,LinkedIn,Tanu Kapoor,58,1,11566,0
REC00072,EMP00072,Campus Hiring,Kavya Reddy,21,2,9769,1
REC00073,EMP00073,Campus Hiring,Sunita Arora,28,4,7683,1
REC00074,EMP00074,Employee Referral,Meenakshi Iyer,36,4,8501,1
REC00075,EMP00075,Campus Hiring,Rajan Mehta,34,3,14770,0
REC00076,EMP00076,Employee Referral,Suresh Pillai,20,1,3398,1
REC00077,EMP00077,Employee Referral,Vikash Gupta,53,3,7590,1
REC00078,EMP00078,Indeed,Pradeep Nair,20,5,6885,1
REC00079,EMP00079,Employee Referral,Amit Joshi,24,5,8666,1
REC00080,EMP00080,Naukri,Pradeep Nair,27,3,18015,1
REC00081,EMP00081,Consultancy,Amit Joshi,30,2,41477,0
REC00082,EMP00082,LinkedIn,Sunita Arora,13,4,22506,1
REC00083,EMP00083,Consultancy,Pradeep Nair,59,2,66521,1
REC00084,EMP00084,Campus Hiring,Pradeep Nair,57,2,12131,1
REC00085,EMP00085,Indeed,Tanu Kapoor,29,4,7394,1
REC00086,EMP00086,Employee Referral,Amit Joshi,51,4,8473,1
REC00087,EMP00087,Naukri,Meenakshi Iyer,43,2,8665,1
REC00088,EMP00088,Campus Hiring,Tanu Kapoor,43,3,12348,1
REC00089,EMP00089,Consultancy,Pradeep Nair,49,4,48959,1
REC00090,EMP00090,Campus Hiring,Amit Joshi,41,3,5699,0
REC00091,EMP00091,Naukri,Pooja Sharma,30,2,11930,1
REC00092,EMP00092,LinkedIn,Vikash Gupta,54,2,8940,1
REC00093,EMP00093,Naukri,Rajan Mehta,12,3,7584,0
REC00094,EMP00094,Indeed,Kavya Reddy,47,4,7662,1
REC00095,EMP00095,Employee Referral,Tanu Kapoor,56,4,5190,1
REC00096,EMP00096,Indeed,Rajan Mehta,58,5,7053,1
REC00097,EMP00097,Campus Hiring,Suresh Pillai,18,2,6961,1
REC00098,EMP00098,Campus Hiring,Sunita Arora,54,1,6088,1
REC00099,EMP00099,Campus Hiring,Rajan Mehta,23,1,7228,1
REC00100,EMP00100,LinkedIn,Tanu Kapoor,57,5,17298,1
REC00101,EMP00101,Consultancy,Rajan Mehta,51,1,45252,1
REC00102,EMP00102,LinkedIn,Kavya Reddy,18,5,16688,0
REC00103,EMP00103,Consultancy,Pradeep Nair,33,4,75761,1
REC00104,EMP00104,Employee Referral,Meenakshi Iyer,39,4,4377,0
REC00105,EMP00105,LinkedIn,Pooja Sharma,48,5,12468,1
REC00106,EMP00106,Naukri,Suresh Pillai,54,1,19995,1
REC00107,EMP00107,Naukri,Kavya Reddy,57,3,14468,0
REC00108,EMP00108,Employee Referral,Vikash Gupta,14,5,5553,1
REC00109,EMP00109,LinkedIn,Suresh Pillai,38,2,22598,1
REC00110,EMP00110,Indeed,Pradeep Nair,38,3,15689,1
REC00111,EMP00111,LinkedIn,Pooja Sharma,11,4,10066,1
REC00112,EMP00112,LinkedIn,Tanu Kapoor,34,3,19251,1
REC00113,EMP00113,Employee Referral,Pooja Sharma,52,3,3033,1
REC00114,EMP00114,Employee Referral,Pradeep Nair,48,3,4275,1
REC00115,EMP00115,Employee Referral,Sunita Arora,12,2,5081,1
REC00116,EMP00116,Naukri,Pradeep Nair,45,4,6422,1
REC00117,EMP00117,LinkedIn,Meenakshi Iyer,47,4,14074,0
REC00118,EMP00118,Naukri,Rajan Mehta,35,4,7115,1
REC00119,EMP00119,Indeed,Sunita Arora,50,5,13077,1
REC00120,EMP00120,Consultancy,Suresh Pillai,7,5,59359,1
REC00121,EMP00121,Indeed,Meenakshi Iyer,46,2,9808,1
REC00122,EMP00122,Campus Hiring,Suresh Pillai,53,2,14829,0
REC00123,EMP00123,Campus Hiring,Meenakshi Iyer,19,2,10434,1
REC00124,EMP00124,Naukri,Amit Joshi,60,4,7428,1
REC00125,EMP00125,LinkedIn,Meenakshi Iyer,60,2,18657,1
REC00126,EMP00126,Employee Referral,Amit Joshi,52,2,6273,1
REC00127,EMP00127,Employee Referral,Pradeep Nair,11,4,5365,1
REC00128,EMP00128,LinkedIn,Rajan Mehta,23,3,11755,1
REC00129,EMP00129,Consultancy,Rajan Mehta,36,4,77250,1
REC00130,EMP00130,Employee Referral,Rajan Mehta,16,3,3905,1
REC00131,EMP00131,Campus Hiring,Tanu Kapoor,11,5,7471,1
REC00132,EMP00132,LinkedIn,Amit Joshi,38,2,14265,1
REC00133,EMP00133,Indeed,Kavya Reddy,19,5,6246,1
REC00134,EMP00134,Naukri,Tanu Kapoor,55,2,13779,1
REC00135,EMP00135,LinkedIn,Vikash Gupta,13,1,9857,0
REC00136,EMP00136,LinkedIn,Vikash Gupta,38,5,10909,1
REC00137,EMP00137,Campus Hiring,Sunita Arora,54,2,12029,1
REC00138,EMP00138,LinkedIn,Suresh Pillai,40,5,23931,1
REC00139,EMP00139,Employee Referral,Sunita Arora,47,4,6851,1
REC00140,EMP00140,Campus Hiring,Suresh Pillai,34,4,10276,1
REC00141,EMP00141,Naukri,Amit Joshi,15,4,10740,1
REC00142,EMP00142,Naukri,Meenakshi Iyer,52,3,9209,0
REC00143,EMP00143,Naukri,Pooja Sharma,23,3,13502,1
REC00144,EMP00144,Indeed,Amit Joshi,37,1,15615,0
REC00145,EMP00145,Employee Referral,Kavya Reddy,29,3,9952,1
REC00146,EMP00146,Consultancy,Pooja Sharma,26,5,34976,1
REC00147,EMP00147,Employee Referral,Kavya Reddy,7,5,4318,1
REC00148,EMP00148,Employee Referral,Meenakshi Iyer,44,2,7680,1
REC00149,EMP00149,Naukri,Tanu Kapoor,16,4,12662,1
REC00150,EMP00150,Consultancy,Sunita Arora,50,3,37936,0
REC00151,EMP00151,Consultancy,Pradeep Nair,54,4,76036,1
REC00152,EMP00152,Employee Referral,Amit Joshi,41,1,6891,0
REC00153,EMP00153,Campus Hiring,Pradeep Nair,12,3,10933,1
REC00154,EMP00154,Employee Referral,Vikash Gupta,44,1,6490,1
REC00155,EMP00155,Consultancy,Amit Joshi,46,4,57163,1
REC00156,EMP00156,LinkedIn,Suresh Pillai,51,3,21146,1
REC00157,EMP00157,LinkedIn,Vikash Gupta,40,5,12376,1
REC00158,EMP00158,LinkedIn,Meenakshi Iyer,9,4,8059,1
REC00159,EMP00159,Employee Referral,Suresh Pillai,57,3,7537,1
REC00160,EMP00160,LinkedIn,Sunita Arora,8,4,15640,0
REC00161,EMP00161,Consultancy,Vikash Gupta,45,5,26927,1
REC00162,EMP00162,LinkedIn,Pooja Sharma,23,5,18058,1
REC00163,EMP00163,Employee Referral,Meenakshi Iyer,34,1,9610,1
REC00164,EMP00164,Campus Hiring,Sunita Arora,28,4,13236,1
REC00165,EMP00165,Campus Hiring,Sunita Arora,37,3,7617,1
REC00166,EMP00166,Naukri,Pooja Sharma,29,3,19779,0
REC00167,EMP00167,Naukri,Suresh Pillai,54,5,12157,1
REC00168,EMP00168,Consultancy,Rajan Mehta,43,3,35234,1
REC00169,EMP00169,Consultancy,Vikash Gupta,18,1,45444,0
REC00170,EMP00170,Employee Referral,Sunita Arora,30,1,4267,1
REC00171,EMP00171,LinkedIn,Vikash Gupta,37,1,9486,1
REC00172,EMP00172,LinkedIn,Kavya Reddy,23,1,24192,1
REC00173,EMP00173,Consultancy,Kavya Reddy,10,3,38987,1
REC00174,EMP00174,Naukri,Sunita Arora,39,1,6842,1
REC00175,EMP00175,Employee Referral,Tanu Kapoor,47,4,3822,1
REC00176,EMP00176,Naukri,Meenakshi Iyer,35,4,17591,1
REC00177,EMP00177,Consultancy,Kavya Reddy,46,1,78782,0
REC00178,EMP00178,Indeed,Rajan Mehta,57,4,13156,1
REC00179,EMP00179,Employee Referral,Tanu Kapoor,57,4,7746,1
REC00180,EMP00180,Employee Referral,Tanu Kapoor,27,3,5817,1
REC00181,EMP00181,Indeed,Rajan Mehta,52,5,17588,1
REC00182,EMP00182,Naukri,Pradeep Nair,12,3,7241,1
REC00183,EMP00183,Consultancy,Vikash Gupta,57,3,54361,1
REC00184,EMP00184,Indeed,Vikash Gupta,43,3,13607,1
REC00185,EMP00185,LinkedIn,Pradeep Nair,20,4,10306,1
REC00186,EMP00186,Campus Hiring,Meenakshi Iyer,13,1,10643,1
REC00187,EMP00187,LinkedIn,Vikash Gupta,20,3,9048,1
REC00188,EMP00188,Employee Referral,Tanu Kapoor,53,4,9005,1
REC00189,EMP00189,Campus Hiring,Rajan Mehta,34,5,10712,1
REC00190,EMP00190,Naukri,Suresh Pillai,38,1,16649,1
REC00191,EMP00191,Consultancy,Suresh Pillai,21,2,64586,1
REC00192,EMP00192,LinkedIn,Amit Joshi,36,4,8801,1
REC00193,EMP00193,Employee Referral,Sunita Arora,42,2,8046,1
REC00194,EMP00194,Consultancy,Amit Joshi,32,5,67745,0
REC00195,EMP00195,Naukri,Vikash Gupta,49,5,7682,1
REC00196,EMP00196,Naukri,Kavya Reddy,9,5,9310,1
REC00197,EMP00197,Campus Hiring,Vikash Gupta,56,5,11644,0
REC00198,EMP00198,LinkedIn,Amit Joshi,23,3,12297,1
